playerID,teamID,age,points,nameFirst,nameLast
alexyaj01,TEX,24.0,65.94359,A. J.,Alexy
rodrich01,LAA,24.0,65.39182,Chris,Rodriguez
poppese01,ARI,28.0,65.168434,Sean,Poppen
grayjo03,WAS,25.0,64.62153,Josiah,Gray
merryju01,TOR,31.0,62.67922,Julian,Merryweather
sanmare01,CIN,26.0,62.629673,Reiver,Sanmartin
paxtoja01,BOS,34.0,62.402065,James,Paxton
howarsp01,TEX,26.0,60.933422,Spencer,Howard
goudeas01,COL,30.0,60.84876,Ashton,Goudeau
murphpa02,WAS,27.0,60.614994,Patrick,Murphy
bukaujb01,ARI,26.0,60.60838,J. B.,Bukauskas
allenlo01,CLE,25.0,58.89594,Logan,Allen
pukaj01,OAK,27.0,57.573383,A. J.,Puk
phillev01,LAN,28.0,57.26328,Evan,Phillips
jeffeda01,OAK,27.0,52.180088,Daulton,Jefferies
gosean01,CLE,32.0,49.027096,Anthony,Gose
margeni01,SEA,26.0,47.9521,Nick,Margevicius
baezpe01,HOU,34.0,47.646732,Pedro,Baez
moretda01,CIN,26.0,46.36143,Dauri,Moreta
reedja02,NYN,30.0,46.1937,Jake,Reed
colemdy01,KCA,26.0,45.5762,Dylan,Coleman
mollsa01,OAK,30.0,39.761417,Sam,Moll
garciro03,DET,25.0,39.558064,Rony,Garcia
rogerjo01,WAS,28.0,37.482,Josh,Rogers
chiriyo01,TBA,29.0,37.12318,Yonny,Chirinos
dobnara01,MIN,27.0,36.210094,Randy,Dobnak
speiega01,KCA,27.0,33.59506,Gabe,Speier
perezfr01,WAS,25.0,28.92837,Francisco,Perez
guerrja02,SDN,27.0,28.07393,Javy,Guerra
morejad01,SDN,23.0,26.323137,Adrian,Morejon
thorple01,MIN,27.0,26.223124,Lewis,Thorpe
romerjo01,PHI,26.0,25.803873,JoJo,Romero
krehbjo01,BAL,30.0,24.636072,Joey,Krehbiel
delpomi01,DET,30.0,23.68719,Miguel,Del Pozo
snydeni01,TEX,27.0,22.897615,Nick,Snyder
hanhoer01,PIT,29.0,16.14882,Eric,Hanhold
moranjo01,MIN,25.0,14.0572605,Jovani,Moran
crousha01,PHI,24.0,6.3822727,Hans,Crouse
honeybr01,OAK,27.0,5.4270725,Brent,Honeywell
dominse01,PHI,28.0,4.140421,Seranthony,Dominguez
munozan01,SEA,23.0,1.8941939,Andres,Munoz
naughpa01,LAA,26.0,0.9081671,Packy,Naughton
hicksjo03,SLN,26.0,-3.8551462,Jordan,Hicks
szaputh01,NYN,26.0,-5.470648,Thomas,Szapucki
lambepe01,COL,25.0,-10.360785,Peter,Lambert
